order_date,sku_id,order_quantity
30-01-2022,3551CA,105
30-01-2022,3079BA,151
30-01-2022,3250CA,300
30-01-2022,1161AA,50
30-01-2022,3512AA,1000
30-01-2022,1741BA,6
30-01-2022,3462AA,50
30-01-2022,3590BA,25
30-01-2022,3551CA,98
30-01-2022,1479CA,3
30-01-2022,1906CA,4
30-01-2022,1234BA,105
30-01-2022,1630BA,4
30-01-2022,3619CA,300
30-01-2022,2767AA,63
30-01-2022,3407CA,1
30-01-2022,2938CA,1
30-01-2022,2501CA,20
30-01-2022,2621AA,2
30-01-2022,2170BA,4
30-01-2022,1499CA,5
30-01-2022,1379CA,8
30-01-2022,3533CA,100
30-01-2022,3345AA,5
30-01-2022,1908AA,1
30-01-2022,2930CA,3
30-01-2022,1624CA,2
30-01-2022,1499AA,100
30-01-2022,1464AA,3
30-01-2022,3551CA,500
30-01-2022,3404CA,10
31-01-2022,2953CA,1
31-01-2022,1990AA,105
31-01-2022,3120BA,5
31-01-2022,1497CA,15
31-01-2022,3250CA,1500
31-01-2022,1971AA,27.5
31-01-2022,3551CA,60
31-01-2022,1741BA,3
31-01-2022,1971AA,26
31-01-2022,3404CA,15
31-01-2022,3420AA,1
31-01-2022,2096BA,2
31-01-2022,1009AA,915
31-01-2022,2935BA,5
31-01-2022,1970CA,77.5
31-01-2022,2923CA,80
31-01-2022,2471CA,2450
31-01-2022,2564BA,126
31-01-2022,3365CA,20
31-01-2022,1161AA,50
31-01-2022,2396CA,1400
31-01-2022,1882CA,1
31-01-2022,2234AA,4
31-01-2022,1994AA,50
31-01-2022,3404CA,2
31-01-2022,2673BA,276
31-01-2022,1385CA,14
31-01-2022,1906CA,1
31-01-2022,1484BA,1
31-01-2022,2953BA,90
31-01-2022,1295CA,1
31-01-2022,1994AA,67.5
31-01-2022,3160BA,3
31-01-2022,3399AA,27
01-02-2022,1499CA,3
01-02-2022,3399AA,1
01-02-2022,1382CA,7
01-02-2022,1497CA,240
01-02-2022,1979AA,25
01-02-2022,3533CA,2000
01-02-2022,2331CA,153
01-02-2022,2501CA,693
01-02-2022,2953CA,4
01-02-2022,3143CA,10
01-02-2022,1956AA,1
01-02-2022,2170BA,2
01-02-2022,1630BA,2
01-02-2022,1317CA,1
01-02-2022,2508BA,1
01-02-2022,2498BA,1
01-02-2022,2600BA,18
01-02-2022,1497CA,100
01-02-2022,1993AA,1225
01-02-2022,2640BA,140
01-02-2022,2484BA,29
01-02-2022,3420AA,2
01-02-2022,3461CA,3
01-02-2022,1077CA,1000
01-02-2022,1497CA,231
01-02-2022,1624CA,4
01-02-2022,1907AA,1
01-02-2022,1130AA,7302
01-02-2022,1382CA,9
01-02-2022,1945AA,1
01-02-2022,2604CA,5
01-02-2022,1993AA,450
01-02-2022,3250CA,50
01-02-2022,3075AA,2
01-02-2022,3075AA,1
02-02-2022,2970CA,1
02-02-2022,2229AA,3
02-02-2022,3345AA,3
02-02-2022,2953CA,1
02-02-2022,3512AA,445
02-02-2022,2956AA,5
02-02-2022,3079BA,18
02-02-2022,2342CA,63
02-02-2022,1077CA,100
02-02-2022,2234AA,2
02-02-2022,3551CA,200
02-02-2022,2315BA,6
02-02-2022,3590BA,15
02-02-2022,3619CA,50
02-02-2022,3502BA,20
02-02-2022,1009AA,140
02-02-2022,3143CA,4
02-02-2022,1695CA,1
02-02-2022,1145BA,22
02-02-2022,2953BA,60
02-02-2022,1130AA,988
02-02-2022,1992AA,210
02-02-2022,2977BA,369
02-02-2022,2315BA,35
02-02-2022,1956CA,2
02-02-2022,2315BA,84
02-02-2022,2606AA,2
02-02-2022,1499CA,6
02-02-2022,1511CA,10
02-02-2022,3420AA,2
02-02-2022,2763CA,162
02-02-2022,2039CA,10
02-02-2022,2277AA,120
02-02-2022,2041CA,2
02-02-2022,1497CA,263
02-02-2022,3193AA,2
02-02-2022,1145BA,74
02-02-2022,1499AA,298
02-02-2022,2565CA,10
02-02-2022,3345AA,10
02-02-2022,1630BA,10
03-02-2022,1908AA,1
03-02-2022,2763CA,4381
03-02-2022,3556AA,20
03-02-2022,2847BA,126
03-02-2022,2236CA,5
03-02-2022,2326CA,97
03-02-2022,2938CA,3
03-02-2022,2041CA,3
03-02-2022,1497CA,4
03-02-2022,1283CA,1
03-02-2022,1964BA,332.5
03-02-2022,3413AA,10
03-02-2022,3461CA,5
03-02-2022,1161AA,46
03-02-2022,1994AA,85
03-02-2022,2714CA,330
03-02-2022,1953AA,1
03-02-2022,2564BA,420
03-02-2022,2220BA,5
03-02-2022,2508BA,1
03-02-2022,3365CA,3
03-02-2022,3358BA,1
03-02-2022,3016BA,7
03-02-2022,1514BA,1
03-02-2022,1882CA,1
03-02-2022,2935BA,20
03-02-2022,1695CA,1
04-02-2022,2680BA,17
04-02-2022,2956AA,49
04-02-2022,1993AA,425
04-02-2022,2953CA,4
04-02-2022,2515BA,580
04-02-2022,2938CA,1
04-02-2022,3407CA,3
04-02-2022,1990AA,5
04-02-2022,2054CA,4
04-02-2022,2515BA,11
04-02-2022,2013AA,67
04-02-2022,2044CA,4
04-02-2022,1953AA,1
04-02-2022,3365CA,6
04-02-2022,3423CA,1
04-02-2022,1908AA,1
04-02-2022,1601AA,8
04-02-2022,2953CA,2
04-02-2022,3610AA,1
04-02-2022,3502BA,12
04-02-2022,2291AA,500
04-02-2022,3407CA,5
04-02-2022,1317CA,1
04-02-2022,3177CA,56.25
04-02-2022,1330CA,1
04-02-2022,2640BA,31
04-02-2022,1979AA,25
04-02-2022,1624CA,2
04-02-2022,2847BA,756
04-02-2022,2227AA,1
04-02-2022,1317CA,1
04-02-2022,1486CA,5
04-02-2022,1695CA,1
05-02-2022,1009AA,1220
05-02-2022,1163CA,37
05-02-2022,2227AA,7
05-02-2022,2673BA,215
05-02-2022,1993AA,1800
05-02-2022,3399AA,7
05-02-2022,1584BA,1
05-02-2022,3378CA,600
05-02-2022,3079BA,474
05-02-2022,3079BA,18
05-02-2022,2515BA,42
05-02-2022,2935BA,1
05-02-2022,1317CA,1
05-02-2022,3025CA,1
05-02-2022,2317CA,1800
05-02-2022,3494AA,102
05-02-2022,1906CA,1
05-02-2022,1445BA,3
05-02-2022,2317CA,249
05-02-2022,3079BA,2
05-02-2022,2564BA,50
05-02-2022,3502BA,9
05-02-2022,2508BA,1
05-02-2022,3358BA,2
05-02-2022,3399AA,3
05-02-2022,1971AA,160
05-02-2022,3533CA,250
05-02-2022,1908AA,1
05-02-2022,2956AA,27
05-02-2022,2236CA,6
05-02-2022,2840AA,332
05-02-2022,2923CA,10
05-02-2022,3494AA,60
05-02-2022,1624AA,3
05-02-2022,3365CA,3
05-02-2022,1624CA,2
05-02-2022,3590BA,12
05-02-2022,2970CA,1
06-02-2022,1145BA,18
06-02-2022,1224AA,468
06-02-2022,3495CA,15
06-02-2022,3619CA,612
06-02-2022,3404CA,1
06-02-2022,2277AA,294
06-02-2022,3027CA,2
06-02-2022,1995AA,40
06-02-2022,2044CA,6
06-02-2022,3619CA,1200
06-02-2022,3461CA,5
06-02-2022,1953AA,1
06-02-2022,3576BA,6
06-02-2022,3619CA,2207
06-02-2022,2606AA,3
06-02-2022,3084CA,1
06-02-2022,2994CA,1
06-02-2022,3399AA,2
06-02-2022,1445BA,1
06-02-2022,1486CA,2
06-02-2022,3365CA,20
06-02-2022,1624AA,1
06-02-2022,2930CA,6
06-02-2022,1499CA,4
06-02-2022,3399AA,2
06-02-2022,3495CA,10
06-02-2022,1317CA,1
06-02-2022,1255CA,1
07-02-2022,1497CA,80
07-02-2022,3413AA,2
07-02-2022,3533CA,500
07-02-2022,1130AA,400
07-02-2022,1630BA,5
07-02-2022,1586CA,8
07-02-2022,2291AA,145
07-02-2022,2212AA,1
07-02-2022,3407CA,3
07-02-2022,2814BA,318
07-02-2022,3025CA,1
07-02-2022,3551CA,500
07-02-2022,1145BA,40
07-02-2022,2956AA,6
07-02-2022,1956AA,1
07-02-2022,2044CA,6
07-02-2022,1163CA,80
07-02-2022,2016CA,200
07-02-2022,3399AA,6
07-02-2022,3556AA,14
07-02-2022,1967BA,170
07-02-2022,1130AA,1080
07-02-2022,2044CA,11
07-02-2022,3551CA,200
07-02-2022,1379CA,7
07-02-2022,2016CA,133
07-02-2022,1995AA,40
07-02-2022,1497CA,13
07-02-2022,1979AA,190
07-02-2022,2212AA,2
07-02-2022,2604CA,31
07-02-2022,1964BA,340
07-02-2022,2336BA,22
07-02-2022,1385CA,7
07-02-2022,3160BA,5
07-02-2022,1499AA,100
07-02-2022,2938CA,14
07-02-2022,1992AA,55
07-02-2022,1624AA,2
07-02-2022,1624CA,1
07-02-2022,1295CA,4
08-02-2022,2173CA,2
08-02-2022,3619CA,330
08-02-2022,1499AA,122
08-02-2022,1161AA,55
08-02-2022,2606AA,1
08-02-2022,1971AA,70
08-02-2022,1624AA,2
08-02-2022,2661CA,71
08-02-2022,2970CA,1
08-02-2022,3462AA,100
08-02-2022,2646AA,87
08-02-2022,2727CA,582
08-02-2022,3075AA,2
08-02-2022,3448CA,17
08-02-2022,1077CA,70
08-02-2022,2930CA,1
08-02-2022,2265BA,3
08-02-2022,1445BA,3
08-02-2022,3576BA,5
08-02-2022,3576BA,8
08-02-2022,2501CA,200
08-02-2022,2317CA,1230
08-02-2022,1967BA,65
08-02-2022,3407CA,6
08-02-2022,3448CA,50
08-02-2022,3075BA,2
08-02-2022,1497CA,250
08-02-2022,2994CA,1
08-02-2022,1511CA,7
08-02-2022,2396CA,1335
08-02-2022,1497CA,6
08-02-2022,1445BA,1
08-02-2022,2021CA,7
08-02-2022,3025CA,10
08-02-2022,3448CA,8
08-02-2022,3084CA,1
09-02-2022,2223AA,1
09-02-2022,3590BA,2
09-02-2022,3125AA,4
09-02-2022,3143CA,1
09-02-2022,1445BA,2
09-02-2022,3160BA,3
09-02-2022,1971AA,1.5
09-02-2022,3075BA,5
09-02-2022,2291AA,400
09-02-2022,2814BA,90
09-02-2022,2501CA,743
09-02-2022,2501CA,2000
09-02-2022,1601AA,3
09-02-2022,2229AA,2
09-02-2022,2956AA,2
09-02-2022,1971AA,40
09-02-2022,3399AA,2
09-02-2022,1385CA,35
09-02-2022,3084CA,2
09-02-2022,2876CA,13
09-02-2022,2498CA,1
09-02-2022,1385CA,35
09-02-2022,1009AA,170
09-02-2022,1624AA,4
09-02-2022,2173CA,1
09-02-2022,2054CA,4
09-02-2022,2923CA,4
09-02-2022,1009AA,284
09-02-2022,3512AA,1100
09-02-2022,3177CA,67.5
09-02-2022,3420AA,2
09-02-2022,2953BA,30
09-02-2022,1970CA,50
09-02-2022,2227AA,6
09-02-2022,1624AA,10
09-02-2022,3423CA,3
09-02-2022,2053BA,14
10-02-2022,3502BA,6
10-02-2022,1956AA,1
10-02-2022,2498BA,1
10-02-2022,1130AA,363
10-02-2022,1083AA,914
10-02-2022,2342CA,225
10-02-2022,3448CA,254
10-02-2022,1971AA,22.5
10-02-2022,2331CA,110
10-02-2022,2763CA,24
10-02-2022,1990AA,55
10-02-2022,2564BA,250
10-02-2022,2234AA,4
10-02-2022,2039CA,3
10-02-2022,2956AA,2
10-02-2022,1145BA,37
10-02-2022,2938CA,1
10-02-2022,1630BA,2
10-02-2022,2016CA,511
10-02-2022,2227AA,2
10-02-2022,3079BA,144
10-02-2022,1970CA,7.5
10-02-2022,1499AA,259
10-02-2022,1995AA,20
10-02-2022,3345AA,5
10-02-2022,3138CA,5
10-02-2022,2501CA,200
11-02-2022,2189CA,5
11-02-2022,3053AA,7
11-02-2022,3160BA,2
11-02-2022,1876AA,1
11-02-2022,2935BA,10
11-02-2022,2876CA,1
11-02-2022,1956AA,616
11-02-2022,1077CA,31
11-02-2022,2255CA,13
11-02-2022,3079BA,12
11-02-2022,2331CA,210
11-02-2022,3075AA,1
11-02-2022,1967BA,240
11-02-2022,3413AA,5
11-02-2022,1586CA,5
11-02-2022,1009AA,150
11-02-2022,3502BA,50
11-02-2022,2564BA,62
11-02-2022,1956AA,1
11-02-2022,3502BA,1
11-02-2022,1514BA,1
11-02-2022,1967BA,85
11-02-2022,2680BA,2
11-02-2022,3205AA,1
11-02-2022,3358BA,1
12-02-2022,2930CA,66
12-02-2022,1193BA,47
12-02-2022,2513CA,1
12-02-2022,1224AA,450
12-02-2022,3138CA,4
12-02-2022,1009AA,240
12-02-2022,3358BA,1
12-02-2022,2729AA,2
12-02-2022,3495CA,100
12-02-2022,1582CA,1
12-02-2022,3495CA,280
12-02-2022,1497CA,57
12-02-2022,2923CA,1
12-02-2022,1130AA,357
12-02-2022,2096BA,6
12-02-2022,1009AA,40
12-02-2022,1145BA,137
12-02-2022,3160BA,5
12-02-2022,1126CA,8171
12-02-2022,1083AA,80
12-02-2022,2498BA,1
12-02-2022,3084CA,1
12-02-2022,3413AA,5
12-02-2022,1499AA,51
12-02-2022,2229AA,4
12-02-2022,1601AA,3
12-02-2022,3512AA,1300
12-02-2022,3551CA,1000
12-02-2022,1582CA,1
12-02-2022,3027CA,1
12-02-2022,2977BA,4
12-02-2022,1953AA,1
12-02-2022,2115CA,56
12-02-2022,2867AA,5
12-02-2022,2923CA,7
12-02-2022,1330CA,1
12-02-2022,1970CA,10
13-02-2022,3079BA,330
13-02-2022,3461CA,15
13-02-2022,3345AA,8
13-02-2022,2227AA,6
13-02-2022,1382CA,16
13-02-2022,1993AA,600
13-02-2022,3533CA,300
13-02-2022,1145BA,24
13-02-2022,2212AA,6
13-02-2022,2876CA,1
13-02-2022,1130AA,840
13-02-2022,2212AA,2
13-02-2022,1908AA,1
13-02-2022,1908AA,4
13-02-2022,1967BA,2
13-02-2022,3075AA,3
13-02-2022,1695CA,1
13-02-2022,1945AA,46
13-02-2022,1956AA,1
13-02-2022,2498CA,15
13-02-2022,1161AA,374
13-02-2022,2501CA,387
13-02-2022,3533CA,58
13-02-2022,3075BA,12
13-02-2022,1992AA,152.5
13-02-2022,2291AA,604
13-02-2022,2170BA,6
13-02-2022,2606AA,6
13-02-2022,2680BA,1
13-02-2022,2564BA,150
13-02-2022,1464AA,2
13-02-2022,1436BA,14
13-02-2022,1921AA,1
13-02-2022,2212CA,3
13-02-2022,2876CA,1
13-02-2022,3413AA,1
13-02-2022,3084CA,1
13-02-2022,3404CA,2
13-02-2022,2953CA,1
13-02-2022,2953BA,50
13-02-2022,3038BA,1
14-02-2022,1479CA,5
14-02-2022,1163CA,264
14-02-2022,1379CA,4
14-02-2022,2212AA,2
14-02-2022,1511CA,16
14-02-2022,1479CA,7
14-02-2022,3075AA,2
14-02-2022,3193AA,3
14-02-2022,1497CA,19
14-02-2022,2025AA,30
14-02-2022,3551CA,2000
14-02-2022,1382CA,15
14-02-2022,2876CA,1
14-02-2022,1464AA,4
14-02-2022,3494AA,50
14-02-2022,2025AA,4
14-02-2022,3404CA,4
14-02-2022,1479CA,5
14-02-2022,3345AA,7
14-02-2022,2970CA,1
14-02-2022,2117BA,4
14-02-2022,2348BA,1
14-02-2022,1382CA,50
14-02-2022,2044CA,13
14-02-2022,2606AA,2
14-02-2022,1009AA,905
14-02-2022,1967BA,204
14-02-2022,1967BA,305
14-02-2022,3358BA,5
14-02-2022,1970CA,28
14-02-2022,3365CA,5
14-02-2022,2501CA,315
14-02-2022,3423CA,1
15-02-2022,2060AA,2
15-02-2022,1163CA,63
15-02-2022,1379CA,8
15-02-2022,2291AA,396
15-02-2022,3120BA,4
15-02-2022,3193AA,1
15-02-2022,1497CA,22
15-02-2022,3075BA,6
15-02-2022,2847BA,700
15-02-2022,1695CA,1
15-02-2022,2508BA,1
15-02-2022,2054CA,25
15-02-2022,3502BA,35
15-02-2022,2234AA,3
15-02-2022,1379CA,8
15-02-2022,2876CA,2
15-02-2022,2673BA,580
15-02-2022,3420AA,2
15-02-2022,2956AA,11
15-02-2022,1956CA,1
15-02-2022,1956CA,2
15-02-2022,2458CA,200
15-02-2022,3079BA,30
15-02-2022,3570CA,24
15-02-2022,3250CA,100
15-02-2022,1445BA,1
15-02-2022,2212AA,4
15-02-2022,3125AA,5
15-02-2022,2060AA,1
15-02-2022,2876CA,2
15-02-2022,3138CA,222
15-02-2022,2646AA,92
15-02-2022,3494AA,120
15-02-2022,3404CA,7
16-02-2022,3079BA,18
16-02-2022,2867AA,53
16-02-2022,3345AA,8
16-02-2022,3120BA,3
16-02-2022,1964BA,275
16-02-2022,2923CA,5
16-02-2022,3576BA,3
16-02-2022,1499AA,30
16-02-2022,1403CA,7
16-02-2022,2867AA,9
16-02-2022,2867AA,18
